23/07/2026 03:55:03 (Info) 	Finished creation of Imageset 'my_shouchon' via XML file. (07870C68)
23/07/2026 03:55:03 (Std) 	Started creation of Imageset from XML specification:
23/07/2026 03:55:03 (Std) 	---- CEGUI Imageset name: my_xrtp
23/07/2026 03:55:03 (Std) 	---- Source texture file: my_xrtp.png in resource group: (Default)
23/07/2026 03:55:03 (Info) 	Finished creation of Imageset 'my_xrtp' via XML file. (07872310)
23/07/2026 03:55:03 (Std) 	Started creation of Imageset from XML specification:
23/07/2026 03:55:03 (Std) 	---- CEGUI Imageset name: ccui1
23/07/2026 03:55:03 (Std) 	---- Source texture file: ccui1.png in resource group: (Default)
23/07/2026 03:55:03 (Info) 	Finished creation of Imageset 'ccui1' via XML file. (07871BD0)
23/07/2026 03:55:03 (Std) 	Started creation of Imageset from XML specification:
23/07/2026 03:55:03 (Std) 	---- CEGUI Imageset name: ccui2
23/07/2026 03:55:03 (Std) 	---- Source texture file: ccui2.png in resource group: (Default)
23/07/2026 03:55:03 (Info) 	Finished creation of Imageset 'ccui2' via XML file. (07871578)
23/07/2026 03:55:03 (Std) 	Started creation of Imageset from XML specification:
23/07/2026 03:55:03 (Std) 	---- CEGUI Imageset name: ccui3
23/07/2026 03:55:03 (Std) 	---- Source texture file: ccui3.png in resource group: (Default)
23/07/2026 03:55:03 (Info) 	Finished creation of Imageset 'ccui3' via XML file. (07872228)
23/07/2026 03:55:03 (Std) 	Started creation of Imageset from XML specification:
23/07/2026 03:55:03 (Std) 	---- CEGUI Imageset name: common
23/07/2026 03:55:03 (Std) 	---- Source texture file: common.png in resource group: (Default)
23/07/2026 03:55:03 (Info) 	Finished creation of Imageset 'common' via XML file. (07870D50)
23/07/2026 03:55:03 (Std) 	Started creation of Imageset from XML specification:
23/07/2026 03:55:03 (Std) 	---- CEGUI Imageset name: cc2541
23/07/2026 03:55:03 (Std) 	---- Source texture file: cc2541.png in resource group: (Default)
23/07/2026 03:55:03 (Info) 	Finished creation of Imageset 'cc2541' via XML file. (078712C0)
23/07/2026 03:55:03 (Std) 	Started creation of Imageset from XML specification:
23/07/2026 03:55:03 (Std) 	---- CEGUI Imageset name: cc2542
23/07/2026 03:55:03 (Std) 	---- Source texture file: cc2542.png in resource group: (Default)
23/07/2026 03:55:03 (Info) 	Finished creation of Imageset 'cc2542' via XML file. (07871CB8)
23/07/2026 03:55:03 (Std) 	Started creation of Imageset from XML specification:
23/07/2026 03:55:03 (Std) 	---- CEGUI Imageset name: cc2543
23/07/2026 03:55:03 (Std) 	---- Source texture file: cc2543.png in resource group: (Default)
23/07/2026 03:55:03 (Info) 	Finished creation of Imageset 'cc2543' via XML file. (07871660)
23/07/2026 03:55:03 (Std) 	Started creation of Imageset from XML specification:
23/07/2026 03:55:03 (Std) 	---- CEGUI Imageset name: cc2544
23/07/2026 03:55:03 (Std) 	---- Source texture file: cc2544.png in resource group: (Default)
23/07/2026 03:55:03 (Info) 	Finished creation of Imageset 'cc2544' via XML file. (07871830)
23/07/2026 03:55:03 (Std) 	Started creation of Imageset from XML specification:
23/07/2026 03:55:03 (Std) 	---- CEGUI Imageset name: cc2545
23/07/2026 03:55:03 (Std) 	---- Source texture file: cc2545.png in resource group: (Default)
23/07/2026 03:55:03 (Info) 	Finished creation of Imageset 'cc2545' via XML file. (07870E38)
23/07/2026 03:55:03 (Std) 	Started creation of Imageset from XML specification:
23/07/2026 03:55:03 (Std) 	---- CEGUI Imageset name: cc2546
23/07/2026 03:55:03 (Std) 	---- Source texture file: cc2546.png in resource group: (Default)
23/07/2026 03:55:03 (Info) 	Finished creation of Imageset 'cc2546' via XML file. (07871A00)
23/07/2026 03:55:03 (Std) 	Started creation of Imageset from XML specification:
23/07/2026 03:55:03 (Std) 	---- CEGUI Imageset name: cc2547
23/07/2026 03:55:03 (Std) 	---- Source texture file: cc2547.png in resource group: (Default)
23/07/2026 03:55:03 (Info) 	Finished creation of Imageset 'cc2547' via XML file. (078711D8)
23/07/2026 03:55:03 (Std) 	Started creation of Imageset from XML specification:
23/07/2026 03:55:03 (Std) 	---- CEGUI Imageset name: cc2548
23/07/2026 03:55:03 (Std) 	---- Source texture file: cc2548.png in resource group: (Default)
23/07/2026 03:55:03 (Info) 	Finished creation of Imageset 'cc2548' via XML file. (07871F70)
23/07/2026 03:55:03 (Std) 	Started creation of Imageset from XML specification:
23/07/2026 03:55:03 (Std) 	---- CEGUI Imageset name: cc2549
23/07/2026 03:55:03 (Std) 	---- Source texture file: cc2549.png in resource group: (Default)
23/07/2026 03:55:03 (Info) 	Finished creation of Imageset 'cc2549' via XML file. (078723F8)
23/07/2026 03:55:03 (Std) 	Started creation of Imageset from XML specification:
23/07/2026 03:55:03 (Std) 	---- CEGUI Imageset name: cc25410
23/07/2026 03:55:03 (Std) 	---- Source texture file: cc25410.png in resource group: (Default)
23/07/2026 03:55:03 (Info) 	Finished creation of Imageset 'cc25410' via XML file. (07871DA0)
23/07/2026 03:55:03 (Std) 	Started creation of Imageset from XML specification:
23/07/2026 03:55:03 (Std) 	---- CEGUI Imageset name: cc25411
23/07/2026 03:55:03 (Std) 	---- Source texture file: cc25411.png in resource group: (Default)
23/07/2026 03:55:03 (Info) 	Finished creation of Imageset 'cc25411' via XML file. (07871E88)
23/07/2026 03:55:03 (Std) 	Started creation of Imageset from XML specification:
23/07/2026 03:55:03 (Std) 	---- CEGUI Imageset name: cc25412
23/07/2026 03:55:03 (Std) 	---- Source texture file: cc25412.png in resource group: (Default)
23/07/2026 03:55:03 (Info) 	Finished creation of Imageset 'cc25412' via XML file. (07871008)
23/07/2026 03:55:03 (Std) 	Started creation of Imageset from XML specification:
23/07/2026 03:55:03 (Std) 	---- CEGUI Imageset name: cc25413
23/07/2026 03:55:03 (Std) 	---- Source texture file: cc25413.png in resource group: (Default)
23/07/2026 03:55:03 (Info) 	Finished creation of Imageset 'cc25413' via XML file. (078724E0)
23/07/2026 03:55:03 (Std) 	Started creation of Imageset from XML specification:
23/07/2026 03:55:03 (Std) 	---- CEGUI Imageset name: cc25414
23/07/2026 03:55:03 (Std) 	---- Source texture file: cc25414.png in resource group: (Default)
23/07/2026 03:55:03 (Info) 	Finished creation of Imageset 'cc25414' via XML file. (078713A8)
23/07/2026 03:55:03 (Std) 	Started creation of Imageset from XML specification:
23/07/2026 03:55:03 (Std) 	---- CEGUI Imageset name: cc25415
23/07/2026 03:55:03 (Std) 	---- Source texture file: cc25415.png in resource group: (Default)
23/07/2026 03:55:03 (Info) 	Finished creation of Imageset 'cc25415' via XML file. (07872880)
23/07/2026 03:55:03 (Std) 	Started creation of Imageset from XML specification:
23/07/2026 03:55:03 (Std) 	---- CEGUI Imageset name: ccxuetiao
23/07/2026 03:55:03 (Std) 	---- Source texture file: ccxuetiao.png in resource group: (Default)
23/07/2026 03:55:03 (Info) 	Finished creation of Imageset 'ccxuetiao' via XML file. (07872A50)
23/07/2026 03:55:03 (Std) 	Started creation of Imageset from XML specification:
23/07/2026 03:55:03 (Std) 	---- CEGUI Imageset name: ccdiban1
23/07/2026 03:55:03 (Std) 	---- Source texture file: ccdiban1.png in resource group: (Default)
23/07/2026 03:55:03 (Info) 	Finished creation of Imageset 'ccdiban1' via XML file. (07872968)
23/07/2026 03:55:03 (Std) 	Started creation of Imageset from XML specification:
23/07/2026 03:55:03 (Std) 	---- CEGUI Imageset name: ranse
23/07/2026 03:55:03 (Std) 	---- Source texture file: ranse.png in resource group: (Default)
23/07/2026 03:55:03 (Info) 	Finished creation of Imageset 'ranse' via XML file. (00CDDE78)
23/07/2026 03:55:03 (Std) 	Started creation of Imageset from XML specification:
23/07/2026 03:55:03 (Std) 	---- CEGUI Imageset name: common5
23/07/2026 03:55:03 (Std) 	---- Source texture file: common5.png in resource group: (Default)
23/07/2026 03:55:03 (Info) 	Finished creation of Imageset 'common5' via XML file. (0AF8B870)
23/07/2026 03:55:03 (Std) 	Started creation of Imageset from XML specification:
23/07/2026 03:55:03 (Std) 	---- CEGUI Imageset name: beijingtiao1
23/07/2026 03:55:03 (Std) 	---- Source texture file: beijingtiao1.png in resource group: (Default)
23/07/2026 03:55:03 (Info) 	Finished creation of Imageset 'beijingtiao1' via XML file. (0AF8C438)
23/07/2026 03:55:03 (Std) 	Started creation of Imageset from XML specification:
23/07/2026 03:55:03 (Std) 	---- CEGUI Imageset name: mainui
23/07/2026 03:55:03 (Std) 	---- Source texture file: mainui.png in resource group: (Default)
23/07/2026 03:55:03 (Info) 	Finished creation of Imageset 'mainui' via XML file. (0AF8C520)
23/07/2026 03:55:03 (Std) 	Started creation of Imageset from XML specification:
23/07/2026 03:55:03 (Std) 	---- CEGUI Imageset name: fightui
23/07/2026 03:55:03 (Std) 	---- Source texture file: fightui.png in resource group: (Default)
23/07/2026 03:55:03 (Info) 	Finished creation of Imageset 'fightui' via XML file. (0AF8B958)
23/07/2026 03:55:03 (Std) 	Started creation of Imageset from XML specification:
23/07/2026 03:55:03 (Std) 	---- CEGUI Imageset name: login_2
23/07/2026 03:55:03 (Std) 	---- Source texture file: login_2.png in resource group: (Default)
23/07/2026 03:55:03 (Info) 	Finished creation of Imageset 'login_2' via XML file. (0AF8B788)
23/07/2026 03:55:03 (Std) 	Started creation of Imageset from XML specification:
23/07/2026 03:55:03 (Std) 	---- CEGUI Imageset name: loginback1
23/07/2026 03:55:03 (Std) 	---- Source texture file: loginback1.png in resource group: (Default)
23/07/2026 03:55:03 (Info) 	Finished creation of Imageset 'loginback1' via XML file. (0AF8AF60)
23/07/2026 03:55:03 (Std) 	Started creation of Imageset from XML specification:
23/07/2026 03:55:03 (Std) 	---- CEGUI Imageset name: LoginBack2
23/07/2026 03:55:03 (Std) 	---- Source texture file: loginback2.png in resource group: (Default)
23/07/2026 03:55:03 (Info) 	Finished creation of Imageset 'LoginBack2' via XML file. (0AF8B3E8)
23/07/2026 03:55:03 (Std) 	Started creation of Imageset from XML specification:
23/07/2026 03:55:03 (Std) 	---- CEGUI Imageset name: renwuui
23/07/2026 03:55:03 (Std) 	---- Source texture file: renwuui.png in resource group: (Default)
23/07/2026 03:55:03 (Info) 	Finished creation of Imageset 'renwuui' via XML file. (0AF8BA40)
23/07/2026 03:55:03 (Std) 	Started creation of Imageset from XML specification:
23/07/2026 03:55:03 (Std) 	---- CEGUI Imageset name: sceneui
23/07/2026 03:55:03 (Std) 	---- Source texture file: sceneui.png in resource group: (Default)
23/07/2026 03:55:03 (Info) 	Finished creation of Imageset 'sceneui' via XML file. (0AF8BDE0)
23/07/2026 03:55:03 (Std) 	Started creation of Imageset from XML specification:
23/07/2026 03:55:03 (Std) 	---- CEGUI Imageset name: character
